0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;;;;;;;;;;;;;;;;;;;;;
Nazwa;Waga nom.;S;DS.;O;P;K;CUSTOM;Samodzielne;Podkategoria;Kategoria glowna;Typ;Kalorie;Tluszcz;Bialko;Weglowodany;Blonnik pokarmowy;Cholesterol;Sod;Potas;Wapn;Fosfor;Magnez;Zelazo;Cynk;Miedz;Mangan;Wit A;Wit D;Wit E;Tiamina;Ryboflawina;Niacyna;Wit B6;Foliany;Wit B12;Wit C
Mieso z piersi kurczaka bez skory;;;;;;;;;Kura i kurczak;Mieso i przetwory miesne;Produkty;99;1,3;21,5;0;0;58;55;385;5;240;33;0,4;0,49;0,01;0,01;6;0;0,3;0,09;0,153;12,44;0,55;12;0,4;0
Mieso z podudzia indyka bez skory;;;;;;;;;Indyk;Mieso i przetwory miesne;Produkty;100;3,7;16,6;0;0;81;96;364;8;214;27;1,2;2,83;0,08;0,02;20;0,1;0,02;0,078;0,213;3,26;0,3;26;1,7;0
Mieso z podudzia indyka ze skora;;;;;;;;;Indyk;Mieso i przetwory miesne;Produkty;142;8,9;15,7;0;0;81;92;324;8;194;24;1,1;2,53;0,08;0,02;40;0,4;0,11;0,076;0,196;3,72;0,28;26;1,7;0
Mieso z ud kurczaka bez skory;;;;;;;;;Kura i kurczak;Mieso i przetwory miesne;Produkty;125;6;17,8;0;0;84;91;334;8;215;26;0,7;1,4;0,08;0,01;20;0,1;0,3;0,08;0,246;3,06;0,33;12;0,4;0
Mieso z ud kurczaka ze skora;;;;;;;;;Kura i kurczak;Mieso i przetwory miesne;Produkty;158;10,2;16,8;0;0;84;85;300;9;196;23;0,7;1,28;0,08;0,01;20;0,5;0,38;0,08;0,226;2,78;0,31;12;0,4;0
Mieso z udzca indyka bez skory;;;;;;;;;Indyk;Mieso i przetwory miesne;Produkty;104;2,8;19,4;0;0;81;77;414;4;227;28;0,8;2,64;0,08;0,01;20;0,2;0,02;0,056;0,274;9,27;0,3;26;1,7;0
Mieso z udzca indyka ze skora;;;;;;;;;Indyk;Mieso i przetwory miesne;Produkty;131;6,4;18,4;0;0;79;76;384;5;213;26;0,8;2,46;0,07;0,01;40;0,4;0,07;0,056;0,256;9,04;0,28;26;1,7;0
Mieso ze skrzydel indyka bez skory;;;;;;;;;Indyk;Mieso i przetwory miesne;Produkty;115;4,7;18;0;0;70;62;359;5;207;27;1,2;2,27;0,04;0,01;20;0,1;0,02;0,015;0,153;1,15;0,2;3;0,7;0
Mieso ze skrzydel indyka ze skora;;;;;;;;;Indyk;Mieso i przetwory miesne;Produkty;168;11,4;16,5;0;0;68;63;308;6;182;23;1,1;1,98;0,04;0,01;40;0,5;0,15;0,022;0,14;2,15;0,19;3;0,6;0
Mieszanka owocowa mrozona;;;;;;;;;;;;40;0,3;0,9;12,1;3,8;0;2;215;23;26;10;0,6;0,13;0,15;0,24;24;0;0,39;0,043;0,036;0,27;0,03;9;0;24,9
Mieszanka warzywna z kurczakiem i makaronem mrozona;200;;Y;Y;Y;Y;;Y;mieszanki warzywne mrozone;warzywa i przetwory warzywne;Produkty;90;2,6;4,8;13,2;1,5;14;18;182;20;64;13;0,5;0,37;0,06;0,14;232;0,03;0,76;0,058;0,068;1,94;0,17;24,6;0,06;26,1
Mieszanka warzywna z kurczakiem i ryzem mrozona;200;;Y;Y;Y;Y;;Y;mieszanki warzywne mrozone;warzywa i przetwory warzywne;Produkty;101;2,7;5,1;15,8;1,8;11;19;220;18;80;18;0,5;0,47;0,04;0,31;242;0,01;0,58;0,057;0,067;2,1;0,16;43,1;0,05;16,9
Mieszanka warzywna z kurczakiem ryzem fasola czerwona mrozon;200;;Y;Y;Y;Y;;Y;mieszanki warzywne mrozone;warzywa i przetwory warzywne;Produkty;103;2,6;5,3;16,7;2,2;10;11;230;20;85;22;0,8;0,6;0,08;0,28;76;0,01;0,61;0,081;0,069;2,17;0,2;35,3;0,04;19,7
Mieszanka warzywna z kurczakiem ryzem grzybami chinskimi mro;200;;Y;Y;Y;Y;;Y;mieszanki warzywne mrozone;warzywa i przetwory warzywne;Produkty;87;2,4;4,3;13,3;1,5;10;19;139;13;62;11;0,4;0,46;0,06;0,19;258;0,01;0,26;0,045;0,052;1,72;0,13;22,8;0,04;4
Mieszanka warzywna z makaronem i wedzonka wieprzowa mrozona;200;;Y;Y;Y;Y;;Y;mieszanki warzywne mrozone;warzywa i przetwory warzywne;Produkty;84;3;4,6;11,7;2,1;11;108;208;20;64;14;0,8;0,74;0,09;0,23;233;0,09;0,64;0,137;0,092;1,08;0,14;32,5;0,08;26,6
Mieszanka warzywna z przyprawami mrozona;200;;Y;Y;Y;Y;;Y;mieszanki warzywne mrozone;warzywa i przetwory warzywne;Produkty;38;0,3;1,9;8,8;2,1;0;5;279;20;63;15;0,7;0,36;0,14;0,14;94;0,39;0,54;0,053;0,075;1,72;0,2;35,3;0;29,5
Mieszanka warzywna z ziemniakami i wedzonka wieprzowa mrozon;200;;Y;Y;Y;Y;;Y;mieszanki warzywne mrozone;warzywa i przetwory warzywne;Produkty;70;3,1;3,6;8,8;1,9;8;119;309;19;74;15;0,8;0,72;0,13;0,14;326;0,27;0,66;0,128;0,14;1,73;0,24;29,5;0,07;28,5
Migdaly;;;;;;;;;;;;572;52;20;20,5;12,9;0;14;778;239;454;269;3;3,19;1;1,7;0;0;24;0,21;0,78;3,4;0,11;96;0;5,6
Mintaj swiezy;;;;;;;;;Ryby swieze;Ryby i przetwory rybne;Produkty;73;0,6;16,6;0;0;71;99;330;9;280;43;0,2;0,4;0,04;0,01;1;0,1;1;0,07;0,06;1,3;0,09;5;3;0
Miod pszczeli;;;;;;;;;;;;324;0;0,3;79,5;0;0;7;46;5;16;5;0,9;0,1;0,09;0,03;0;0;0;0,004;0,04;0,2;0,02;0;0;1,4
Miod sztuczny;;;;;;;;;;;;336;0;0,1;82,5;0;0;19;5;6;0;0;0;0,02;0,02;0,01;0;0;0;0;0;0;0;0;0;0
Mizeria ze smietana;100;Y;Y;Y;Y;Y;;Y;Surowki;Potrawy z warzyw;Potrawy;33;2,2;1;2,8;0,4;7;15;112;30;30;8;0,2;0,22;0,08;0,06;34;0,02;0,14;0,026;0,051;0,15;0,04;10,1;0,05;5,1
Mleko kobiece;;;;;;;;;Mleko;Mleko i przetwory mleczne;Produkty;72;4,3;1,3;7;0;14;20;52;20;13;4;0,1;0,11;0,03;0,01;68;0,04;0,3;0,01;0,04;0,2;0,01;5;0,05;5
Mleko kozie;;;;;;;;;Mleko;Mleko i przetwory mleczne;Produkty;68;4,1;3,2;4,5;0;11;40;161;130;127;14;0,1;0,58;0,04;0,02;74;0,11;0,1;0,03;0,133;0,25;0,05;1;0,1;1
Mleko odtluszczone w proszku;;;;;;;;;Mleko;Mleko i przetwory mleczne;Produkty;360;0,8;35,7;51,2;0;20;480;1874;1404;1012;143;1,2;4,15;0,24;0,2;7;0,02;0,01;0,381;1,785;1,19;0,47;50;2,6;13,1
Mleko owcze;;;;;;;;;Mleko;Mleko i przetwory mleczne;Produkty;107;7;6;5,1;0;11;44;136;193;158;18;0,1;0,2;0,1;0,02;51;0,18;0,2;0,07;0,36;0,4;0,05;5;0,6;4
Mleko pelne w proszku;;;;;;;;;Mleko;Mleko i przetwory mleczne;Produkty;479;24;27;38,7;0;109;357;1393;1062;765;108;0,9;3,09;0,18;0,2;199;0,24;0,41;0,288;1,35;0,9;0,36;40;2,4;10,8
Mleko spozywcze 0,5% tluszczu;;;;;;;;;Mleko;Mleko i przetwory mleczne;Produkty;39;0,5;3,5;5,1;0;2;45;141;121;97;12;0,1;0,4;0,01;0,01;15;0;0,01;0,037;0,17;0,1;0,05;5;0,4;1
Mleko spozywcze 1,5% tluszczu;;;;;;;;;Mleko;Mleko i przetwory mleczne;Produkty;47;1,5;3,4;5;0;5;45;141;120;97;12;0,1;0,37;0,01;0,02;20;0,01;0,05;0,037;0,17;0,1;0,05;5;0,4;1
Mleko spozywcze 2% tluszczu;;;;;;;;;Mleko;Mleko i przetwory mleczne;Produkty;51;2;3,4;4,9;0;8;45;141;120;86;12;0,1;0,32;0,02;0,02;25;0,02;0,07;0,037;0,17;0,1;0,05;5;0,4;1
Mleko spozywcze 3,2% tluszczu;;;;;;;;;Mleko;Mleko i przetwory mleczne;Produkty;61;3,2;3,3;4,8;0;13;44;139;118;85;12;0,1;0,32;0,02;0,02;36;0,03;0,1;0,036;0,17;0,1;0,05;5;0,4;1
Mleko spozywcze 3,5% tluszczu;;;;;;;;;Mleko;Mleko i przetwory mleczne;Produkty;64;3,5;3,3;4,8;0;14;44;138;118;85;12;0,1;0,32;0,02;0,02;40;0,03;0,11;0,036;0,17;0,1;0,05;5;0,4;1
Mleko UHT 0,5% tluszczu;;;;;;;;;Mleko;Mleko i przetwory mleczne;Produkty;39;0,5;3,5;5,1;0;2;42;141;111;91;12;0,1;0,4;0,01;0,01;15;0;0,01;0,037;0,17;0,1;0,04;1;0,2;1
Mleko UHT 1,5% tluszczu;;;;;;;;;Mleko;Mleko i przetwory mleczne;Produkty;47;1,5;3,4;5;0;5;42;141;110;92;12;0,1;0,37;0,01;0,02;19;0,01;0,05;0,037;0,17;0,1;0,04;1;0,2;1
Mleko UHT 1,5% tluszczu z witaminami;;;;;;;;;Mleko;Mleko i przetwory mleczne;Produkty;47;1,5;3,4;5;0;5;45;141;120;97;12;0,1;0,37;0,01;0,02;102;0,81;0,81;0,14;0,28;1,59;0,26;39;0,6;6
Mleko UHT 3,2% tluszczu;;;;;;;;;Mleko;Mleko i przetwory mleczne;Produkty;61;3,2;3,3;4,8;0;13;41;139;113;81;12;0,1;0,32;0,02;0,02;33;0,03;0,1;0,036;0,17;0,1;0,04;1;0,2;1
Mleko zageszczone nieslodzone;;;;;;;;;Mleko;Mleko i przetwory mleczne;Produkty;131;7,5;6,6;9,4;0;30;120;304;258;202;26;0,2;0,7;0,04;0,02;62;0,1;0,13;0,07;0,328;0,22;0,09;8;0,4;5
Mleko zageszczone slodzone;;;;;;;;;Mleko;Mleko i przetwory mleczne;Produkty;326;8;7,5;55,3;0;32;110;348;295;212;30;0,2;0,8;0,05;0,02;66;0,1;0,14;0,08;0,375;0,25;0,1;9;0,5;4
Morele;75;y;y;;y;y;y;y;owoce swieze;owoce i przetwory owocowe;Produkty;47;0,2;0,9;11,9;1,7;0;1;275;23;21;7;0,6;0,14;0,15;0,18;254;0;0,5;0,03;0,05;0,8;0,07;5;0;6,7
Morele suszone;75;y;y;;y;y;y;y;owoce suszone;owoce i przetwory owocowe;Produkty;284;1,2;5,4;72,2;10,3;0;5;1666;139;127;42;3,6;0,84;0,77;0,93;1307;0;3,03;0,182;0,303;4,85;0,42;14;0;31,7
Morszczuk swiezy;;;;;;;;;Ryby swieze;Ryby i przetwory rybne;Produkty;89;2,2;17,2;0;0;50;100;270;41;142;23;0,5;0,3;0,03;0,02;10;0,1;0,4;0,1;0,2;3;0,18;8;1;0
Mozg wieprzowy;;;;;;;;;Podroby;Mieso i przetwory miesne;Produkty;139;10,6;11,1;0;0;2500;160;326;10;340;20;3,8;1,04;0,3;0,03;9;0;1,05;0,155;0,304;4,1;0,15;5;2,8;18
Mus jablkowy;100;Y;Y;Y;Y;Y;;Y;Desery;Desery;Potrawy;124;0,2;2,2;28,7;0,8;0;38;84;3;7;3;0,2;0,13;0,03;0,04;1;0;0,18;0,012;0,089;0,08;0,01;3,4;0,02;1,1
Musli z owocami suszonymi;100;Y;Y;;Y;Y;;Y;Produkty sniadaniowe;Produkty zbozowe;Produkty;325;3,4;8,4;72,2;8;0;101;564;49;260;93;3,1;2,17;0,4;2,27;85;0;1,44;0,314;0,145;1,91;0,22;73;0;3
Musli z rodzynkami i orzechami;100;Y;Y;;Y;Y;;Y;Produkty sniadaniowe;Produkty zbozowe;Produkty;375;12,7;11,5;62,9;9,7;0;122;443;71;381;136;3,9;3,01;0,55;3,29;1;0;6,36;0,385;0,149;2,04;0,28;100;0;0,6
Musztarda;;;;;;;;;;;;162;6,4;5,7;22;1,7;0;760;165;95;170;117;1,8;0,7;0,09;0,36;0;0;0,18;0,1;0,2;0;0,01;18;0;0
Nalesniki z kapusta;200;;Y;Y;Y;Y;;Y;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;147;9,2;3,3;15,1;2,2;21;24;207;67;49;13;0,5;0,41;0,04;0,21;17;0,07;1,25;0,065;0,09;0,41;0,08;40,2;0,1;35,4
Nalesniki z serem twarogowym;200;Y;Y;Y;Y;Y;;Y;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;242;10,3;10,2;27,3;0,4;71;39;94;60;129;8;0,5;0,71;0,04;0,06;94;0,32;0,33;0,039;0,235;0,25;0,05;21,2;0,52;0,1
Napoj jablkowo-mietowy;;;;;;;;;;;;42;0,1;0,1;10,1;0,2;0;1;41;1;3;1;0,1;0,05;0,01;0,03;1;0;0,15;0,01;0,008;0,05;0,01;1,2;0;2,2
Napoj jablkowy;;;;;;;;;;;;39;0;0;9,6;0;0;0;6;0;0;0;0;0,1;0;0,01;0;0;0,02;0,002;0,001;0,01;0;0,2;0;0,3
Napoj jablkowy z czerwonym winogronem;;;;;;;;;;;;43;0;0;10,7;0,1;0;0;8;0;1;0;0;0,01;0;0,01;0;0;0,02;0,002;0,001;0,01;0;0,3;0;0,6
Napoj jablkowy z czerwonym winogronem i witaminami;;;;;;;;;;;;43;0;0;10,7;0,1;0;0;8;0;1;0;0;0,01;0;0,01;0;0;0,02;0,002;0,001;0,01;0,3;40,3;0,18;0,6
Napoj jablkowy z wisnia;;;;;;;;;;;;39;0;0;9,6;0,1;0;0;6;0;1;0;0;0,01;0,01;0,01;0;0;0,02;0,002;0,001;0,01;0;0,2;0;0,4
Napoj jablkowy z wisnia i witaminami;;;;;;;;;;;;39;0;0;9,6;0,1;0;0;6;0;1;0;0;0,01;0,01;0,01;0;0;0,02;0,002;0,001;0,01;0,3;40,2;0,18;0,4
Napoj jablkowy z witaminami;;;;;;;;;;;;39;0;0;9,6;0;0;0;6;0;0;0;0;0,01;0;0,01;0;0;0,02;0,002;0,001;0,01;0,3;40,2;0,18;0,3
Napoj mleczny jogurtowy;200;Y;Y;;Y;Y;;Y;Napoje mleczne;Mleko i przetwory mleczne;Produkty;82;1,9;4;12,1;0;7;59;186;158;113;16;0,1;0,43;0,03;0;15;0,03;0,03;0,043;0,201;0,13;0,06;8,4;0,44;0,9
Napoj mleczny kakaowy;200;Y;Y;;Y;Y;;Y;Napoje mleczne;Mleko i przetwory mleczne;Produkty;81;2,1;3,3;12,1;0,1;7;41;153;111;87;16;0,2;0,38;0,07;0,05;23;0,02;0,07;0,035;0,161;0,12;0,05;4,5;0,35;0,9
Napoj mleczny serwatkowo-smietankowy;200;Y;Y;;Y;Y;;Y;Napoje mleczne;Mleko i przetwory mleczne;Produkty;73;2,2;0,9;12,4;0;8;40;116;66;40;2;0,1;0,07;0;0,01;21;0,02;0,04;0,035;0,126;0,09;0,04;1,1;0,18;0
Napoj mleczny smietankowy;200;Y;Y;;Y;Y;;Y;Napoje mleczne;Mleko i przetwory mleczne;Produkty;63;0,5;3,5;10,9;0;3;61;158;116;84;14;0,1;0,51;0,01;0;8;0;0;0,041;0,176;0,1;0,04;3;0,29;0,1
Napoj mleczny z truskawkami;200;Y;Y;;Y;Y;;Y;Desery;Desery;Potrawy;109;0,7;1,2;24,9;0,7;2;11;87;39;30;7;0,3;0,12;0,05;0,09;5;0,01;0,06;0,019;0,062;0,14;0,04;8,2;0,14;26,3
Napoj pomaranczowy;;;;;;;;;;;;43;0;0,1;10,5;0,1;0;0;21;4;3;1;0;0,02;0,01;0,01;2;0;0,02;0,009;0,004;0,02;0,01;2,3;0;4,4
Napoj pomaranczowy z witaminami;;;;;;;;;;;;43;0;0,1;10,5;0,1;0;0;21;4;3;1;0;0,02;0,01;0,01;2;0;0,02;0,009;0,004;0,02;0,31;42,3;0,18;4,4
Napoj winogronowy;;;;;;;;;;;;36;0;0;9,1;0,2;0;0;9;1;1;0;0;0,01;0,01;0,01;0;0;0,03;0,003;0,002;0,01;0;0,2;0;0,2
Napoj winogronowy z witaminami;;;;;;;;;;;;36;0;0;9,1;0,2;0;0;9;1;1;0;0;0,01;0,01;0,01;0;0;0,03;0,003;0,002;0,01;0,3;40,2;0,18;0,2
Napoje gazowane o smaku owocowym;;;;;;;;;;;;42;0;0;10,3;0;0;8;27;7;2;7;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Nektar ananasowy;;;;;;;;;;;;41;0,1;0,1;9,8;0,1;0;0;79;6;4;5;0,1;0,09;0,03;0,18;3;0;0,04;0,032;0,014;0,14;0,03;2,6;0;4,2
Nektar ananasowy z witaminami;;;;;;;;;;;;41;0,1;0,1;9,8;0,1;0;0;79;6;4;5;0,1;0,09;0,03;0,18;3;0;0,04;0,032;0,014;0,14;0,33;42,6;0,18;4,2
Nektar brzoskwiniowy;;;;;;;;;;;;55;0,1;0,3;13,4;0,3;0;1;67;4;8;3;0,2;0,05;0,02;0,04;32;0;0,31;0,008;0,018;0,32;0,01;1;0;1,3
Nektar brzoskwiniowy z witaminami;;;;;;;;;;;;55;0,1;0,3;13,4;0,3;0;1;67;4;8;3;0,2;0,05;0,02;0,04;32;0;0,31;0,008;0,018;0,32;0,31;41;0,18;1,3
Nektar wisniowy;;;;;;;;;;;;50;0,1;0,3;12,1;0,2;0;1;51;5;7;3;0,1;0,04;0,05;0,01;14;0;0,04;0,017;0,02;0,14;0,01;2,7;0;4,1
Nektar wisniowy z witaminami;;;;;;;;;;;;50;0,1;0,3;12,1;0,2;0;1;51;5;7;3;0,1;0,04;0,05;0,01;14;0;0,04;0,017;0,02;0,14;0,31;42,7;0,18;4,1
Nektar z bialych grejpfrutow;;;;;;;;;;;;37;0,1;0,2;8,7;0,1;0;1;128;10;8;6;0,1;0,09;0,03;0,01;1;0;0,13;0,019;0,009;0,09;0,01;3,4;0;14,4
Nektar z bialych grejpfrutow z witaminami;;;;;;;;;;;;37;0,1;0,2;8,7;0,1;0;1;128;10;8;6;0,1;0,09;0,03;0,01;1;0;0,13;0,019;0,009;0,09;0,31;43,4;0,18;14,4
Nektar z czarnych porzeczek;;;;;;;;;;;;53;0,1;0,3;12,7;0,1;0;1;60;14;6;5;1;0,03;0,02;0,14;4;0;0,25;0,015;0,008;0,06;0,01;5;0;23,4
Nektar z czarnych porzeczek z witaminami;;;;;;;;;;;;53;0,1;0,3;12,7;0,1;0;1;60;14;6;5;1;0,03;0,02;0,14;4;0;0,25;0,015;0,008;0,06;0,31;45;0,18;23,4
Nektar z rozowych grejpfrutow;;;;;;;;;;;;36;0,1;0,2;8,6;0,1;0;1;130;10;8;6;0,1;0,09;0,03;0,01;1;0;0,14;0,019;0,009;0,09;0,01;3,4;0;14,6
Nektar z rozowych grejpfrutow z witaminami;;;;;;;;;;;;36;0,1;0,2;8,6;0,1;0;1;130;10;8;6;0,1;0,09;0,03;0,01;1;0;0,14;0,019;0,009;0,09;0,31;43,4;0,18;14,6
Nektarynka;75;y;y;;y;y;y;y;owoce swieze;owoce i przetwory owocowe;Produkty;48;0,2;0,9;11,8;1,2;0;1;214;9;28;13;0,5;0,13;0,08;0,13;17;0;1,8;0,02;0,04;0,1;0,02;4;0;13,7
Nerki wieprzowe;;;;;;;;;Podroby;Mieso i przetwory miesne;Produkty;102;3,8;16,8;0;0;375;205;313;11;246;18;8;3;0,89;0,06;36;1;0,41;0,58;1,74;9,8;0,53;45;17;13
Noga (udo) kurczaka;;;;;;;;;Kura i kurczak;Mieso i przetwory miesne;Produkty;158;10,2;16,8;0;0;84;85;300;9;196;23;0,7;1,28;0,08;0,01;20;0,5;0,38;0,08;0,226;2,78;0,31;12;0,4;0
Nogi wieprzowe;;;;;;;;;Podroby;Mieso i przetwory miesne;Produkty;274;20,4;23;0;0;60;157;127;24;106;12;2,1;2,66;0,35;0,05;30;0,6;0,4;0,013;0,065;1,6;0,32;4;0,7;0
Ogorek;;;;;;;;;;;;13;0,1;0,7;2,9;0,5;0;11;125;15;23;8;0,2;0,24;0,11;0,08;28;0;0,16;0,029;0,038;0,19;0,04;15;0;8
Ogorek kwaszony;;;;;;;;;;;;11;0,1;1;1,9;0,5;0;703;99;18;27;43;0,4;0,82;0,06;0,1;17;0;0;0,01;0,02;0,2;0;8;0;4
Ogorki konserwowe;;;;;;;;;;;;24;0,1;0,3;5,6;0,2;0;389;54;7;10;6;0,1;0,11;0,05;0,04;10;0;0,05;0,011;0,015;0,08;0,02;4,3;0;1,7
Ogorki mizeria mrozone;;;;;;;;;;;;12;0,1;0,6;2,6;0,5;0;9;101;12;19;6;0,2;0,19;0,09;0,06;25;0;0,14;0,023;0,031;0,15;0,03;12,9;0;5
Ogorki z papryka, konserwowe;;;;;;;;;;;;41;0,1;0,3;9,9;0,3;0;390;58;7;11;7;0,1;0,11;0,05;0,04;15;0;0,08;0,012;0,017;0,09;0,02;4,8;0;2,5
Okon swiezy;;;;;;;;;Ryby swieze;Ryby i przetwory rybne;Produkty;82;0,8;18,4;0;0;72;47;330;20;220;26;0,6;0,81;0,04;0,06;7;0,8;1,47;0,075;0,12;3;0,3;9;5;1,3
Olej krokoszowy;;;;;;;;;Oleje;Tluszcze;Produkty;884;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;0;0;0;0;0;0;0
Olej kukurydziany;;;;;;;;;Oleje;Tluszcze;Produkty;884;100;0;0;0;0;1;1;15;0;0;0,1;0;0;0;0;0;14,3;0;0;0;0;0;0;0
Olej palmowy;;;;;;;;;Oleje;Tluszcze;Produkty;884;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0
Olej rzepakowo-sojowy;;;;;;;;;Oleje;Tluszcze;Produkty;884;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19,65;0;0;0;0;0;0;0
Olej rzepakowy o obnizonej zawartosci kwasu erukowego;;;;;;;;;Oleje;Tluszcze;Produkty;884;100;0;0;0;0;0;0;0;0;0;0;0;0,04;0;0;0;26,73;0;0;0;0;0;0;0
Olej rzepakowy tloczony na zimno;;;;;;;;;Oleje;Tluszcze;Produkty;884;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29,05;0;0;0;0;0;0;0
Olej rzepakowy uniwersalny;;;;;;;;;Oleje;Tluszcze;Produkty;884;100;0;0;0;0;0;0;0;0;0;0;0;0,04;0;0;0;26,73;0;0;0;0;0;0;0
Olej sezamowy;;;;;;;;;Oleje;Tluszcze;Produkty;884;100;0;0;0;0;2;20;10;0;0;0,1;0;0;0;0;0;1,4;0;0;0;0;0;0;0
Olej slonecznikowy;;;;;;;;;Oleje;Tluszcze;Produkty;884;100;0;0;0;0;0;0;0;0;0;0,1;0;0,02;0;0;0;46,71;0;0;0;0;0;0;0
Olej sojowy;;;;;;;;;Oleje;Tluszcze;Produkty;884;100;0;0;0;0;0;0;0;0;0;0;0,01;0;0;0;0;12,58;0;0;0;0;0;0;0
Olej z pestek winogron;;;;;;;;;Oleje;Tluszcze;Produkty;884;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28,8;0;0;0;0;0;0;0
Olej z zarodkow pszennych;;;;;;;;;Oleje;Tluszcze;Produkty;884;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;149;0;0;0;0;0;0;0
Oliwa z oliwek;;;;;;;;;;;;882;99,6;0;0,2;0;0;1;0;0;1;0;0,4;0,06;0,07;0;0;0;11,95;0;0;0;0;0;0;0
Oliwki zielone marynowane konserwowe;;;;;;;;;;;;125;12,7;1,4;4,1;2,4;0;2400;55;61;17;22;1,6;0,22;0,23;0,08;30;0;1,99;0;0;0,1;0,02;10;0;0
Omlet biszkoptowy ze szpinakiem;200;Y;Y;Y;Y;Y;;Y;Potrawy z jaj;Potrawy z jaj;Potrawy;138;9,7;5,9;9,3;2,4;94;54;248;99;77;50;3;1,03;0,11;0,25;656;0,41;1,81;0,078;0,226;0,4;0,18;113;0,34;32,6
Orzech kokosowy;;;;;;;;;;;;335;33,5;3,4;15,2;9;0;20;355;14;94;43;1,8;0,5;0,44;1;0;0;0,73;0,07;0,02;0,5;0,05;26;0;3
Orzechy arachidowe;;;;;;;;;;;;560;46,1;25,7;19,2;7,3;0;16;720;58;385;180;3,2;3,1;0,86;1,5;0;0;9,1;0,66;0,13;14,2;0,3;110;0;0
Orzechy laskowe;;;;;;;;;;;;640;63;14,4;14,9;8,9;0;2;616;186;333;140;3,4;2,44;1,29;4,2;5;0;38,71;0,3;0,08;1;0,55;72;0;3
Orzechy pistacjowe;;;;;;;;;;;;589;48,5;20,5;25;6,1;0;6;1090;135;500;158;6,7;1,3;0,81;0,88;23;0;5,2;0,82;0,17;1,1;0;58;0;0
Orzechy wloskie;;;;;;;;;;;;645;60,3;16;18;6,5;0;4;474;87;332;99;1,8;2,72;0,28;3,6;8;0;2,6;0,39;0,12;1,19;0,73;66;0;5,8
Otreby pszenne;50;Y;Y;Y;Y;Y;;Y;Produkty sniadaniowe;Produkty zbozowe;Produkty;185;4,6;16;61,9;42,4;0;9;1121;119;1276;490;14,9;8,85;0,95;10;0;0;3,81;0,96;0,148;8,89;1,33;260;0;0
Ozor wieprzowy;;;;;;;;;Podroby;Mieso i przetwory miesne;Produkty;165;11,1;16,5;0;0;101;108;255;11;188;18;4,5;2,6;0,23;0,03;9;0,6;0,53;0,33;0,42;5,3;0,35;8;3,7;4
Ozory w galarecie;;;;;;;;;Wedliny podrobowe;Mieso i przetwory miesne;Produkty;141;7,6;16,7;1,7;0,3;66;899;232;12;157;16;3,6;1,81;0,18;0,05;28;0,36;0,54;0,225;0,291;3,58;0,26;2,6;1,95;15,4
Paczki tradycyjne;;;;;;;;;;;;414;15,5;7,6;62,1;1,5;145;137;167;48;120;14;1,9;0,83;0,1;0,17;164;0,58;0,7;0,088;0,18;0,75;0,07;35,8;0,54;0,3
Paluszki z kminkiem;;;;;;;;;;;;490;30,5;16,5;38,9;1,3;318;894;223;77;242;32;3,4;2,16;0,15;0,3;395;2,52;4,91;0,119;0,521;0,45;0,1;43,1;1,27;0
Papaja;;;;;;;;;;;;41;0,1;0,6;11,1;1,9;0;3;255;24;5;10;0,1;0,07;0,03;0,02;200;0;1,8;0,03;0,03;0,3;0,02;38;0;62
Papryka czerwona;;;;;;;;;;;;28;0,5;1,3;6,6;2;0;3;255;13;31;11;0,6;0,26;0,08;0,1;528;0;2,9;0,04;0,12;1,6;0,45;52;0;144
Papryka czerwona konserwowa;;;;;;;;;;;;30;1,5;0,8;5;1,8;0;291;78;14;68;5;0,9;0,49;0,06;0,04;133;0;1,2;0,04;0,05;0,55;0,18;17;0;81,2
Papryka czerwona mrozona;;;;;;;;;;;;28;0,5;1,3;6,6;2;0;3;255;13;31;11;0,6;0,26;0,08;0,1;528;0;2,9;0,04;0,12;1,6;0,45;46,8;0;129,6
Papryka nadziewana miesem i ryzem;75;;Y;Y;Y;Y;;Y;Potrawy warzywno-miesne;Potrawy warzywno-miesne;Potrawy;153;10;3,9;13,7;1,7;19;14;231;16;59;12;0,7;0,81;0,08;0,19;261;0,11;1,56;0,094;0,098;1,27;0,24;20,8;0,1;63
Papryka zielona;;;;;;;;;;;;18;0,3;1,1;4,6;2;0;2;176;12;23;9;0,5;0,24;0,08;0,1;32;0;3,1;0,04;0,03;0,6;0,27;36;0;91
"Paprykarz ""Szczecinski""";;;;;;;;;Przetwory rybne;Ryby i przetwory rybne;Produkty;178;11,9;9,9;8,6;0,7;26;595;327;15;147;27;0,7;0,51;0,07;0,14;61;0,47;3,58;0,063;0,078;1,75;0,19;8,6;0,44;4,8
