Nazwa;Podkategoria;Kategoria g³owna;;Kalorie;Tluszcz;Bialko;Weglowodany
Pieczarki smazone;Potrawy z grzybów;Potrawy z warzyw;Potrawy;232;24,3;3,4;3,3
Pieczen cieleca duszona;Potrawy z cieleciny;Potrawy miesne;Potrawy;192;11,8;20,1;1,7
Pieczen rzymska;Potrawy z miesa mieszanego;Potrawy miesne;Potrawy;208;11,4;14,5;12,5
Pieczen wieprzowa duszona;Potrawy z wieprzowiny;Potrawy miesne;Potrawy;225;19,8;11,4;1,2
Pieczen wolowa duszona;Potrawy z wolowiny;Potrawy miesne;Potrawy;156;9,5;15,8;1,9
Pierogi ruskie;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;167;5;5,9;25,5
Pierogi z miesem;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;205;10,1;11,9;17,1
Pierogi z serem twarogowym;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;239;9,9;11,1;26,6
Pierogi z truskawkami;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;241;11,4;4,1;32,1
Platki owsiane na mleku;Zupy mleczne;Zupy;Potrawy;62;2,3;2,7;8,2
Poledwica wolowa pieczona;Potrawy z wolowiny;Potrawy miesne;Potrawy;168;9,9;19,7;0
Potrawka z kurczaka;Potrawy drobiowe;Potrawy miesne;Potrawy;148;9;13,3;4,6
Pulpety z miesa mieszanego gotowane;Potrawy z miesa mieszanego;Potrawy miesne;Potrawy;223;11,1;18,8;13,3
Pyzy ziemniaczane;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;210;6,2;3,7;37,4
Pyzy ziemniaczane z miesem;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;292;14;7,9;36,2
Risotto z miesem i warzywami;Potrawy warzywno-miesne;Potrawy warzywno-miesne;Potrawy;185;10;6,6;18,3
Rolada biszkoptowa z dzemem;Desery;Desery;Potrawy;299;4,8;7;56,7
Rolada wieprzowa pieczona;Potrawy z wieprzowiny;Potrawy miesne;Potrawy;414;32,6;21,3;9,9
Ryz gotowany;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;124;0,3;2,4;28,4
Ryz na mleku;Zupy mleczne;Zupy;Potrawy;66;2,1;2,7;9,1
Ryz na sypko z tluszczem roslinnym;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;135;1,5;2,4;28,4
